time_step,kiv0_X,kiv0_Y,kiv0_X_EST,kiv0_Y_EST,kiv0_X_AVG,kiv0_Y_AVG,kiv0_X_MIN,kiv0_Y_MIN,kiv0_X_MAX,kiv0_Y_MAX,kiv0FRAC_MOVING_GPSBOTS,kiv0NUM_GPSBOTS,kiv0NUM_MOVING_GPSBOTS,kiv0NUM_CONNECTED_GPSBOTS,kiv1_X,kiv1_Y,kiv1_X_EST,kiv1_Y_EST,kiv1_X_AVG,kiv1_Y_AVG,kiv1_X_MIN,kiv1_Y_MIN,kiv1_X_MAX,kiv1_Y_MAX,kiv1FRAC_MOVING_GPSBOTS,kiv1NUM_GPSBOTS,kiv1NUM_MOVING_GPSBOTS,kiv1NUM_CONNECTED_GPSBOTS,kiv2_X,kiv2_Y,kiv2_X_EST,kiv2_Y_EST,kiv2_X_AVG,kiv2_Y_AVG,kiv2_X_MIN,kiv2_Y_MIN,kiv2_X_MAX,kiv2_Y_MAX,kiv2FRAC_MOVING_GPSBOTS,kiv2NUM_GPSBOTS,kiv2NUM_MOVING_GPSBOTS,kiv2NUM_CONNECTED_GPSBOTS,kiv3_X,kiv3_Y,kiv3_X_EST,kiv3_Y_EST,kiv3_X_AVG,kiv3_Y_AVG,kiv3_X_MIN,kiv3_Y_MIN,kiv3_X_MAX,kiv3_Y_MAX,kiv3FRAC_MOVING_GPSBOTS,kiv3NUM_GPSBOTS,kiv3NUM_MOVING_GPSBOTS,kiv3NUM_CONNECTED_GPSBOTS,kiv4_X,kiv4_Y,kiv4_X_EST,kiv4_Y_EST,kiv4_X_AVG,kiv4_Y_AVG,kiv4_X_MIN,kiv4_Y_MIN,kiv4_X_MAX,kiv4_Y_MAX,kiv4FRAC_MOVING_GPSBOTS,kiv4NUM_GPSBOTS,kiv4NUM_MOVING_GPSBOTS,kiv4NUM_CONNECTED_GPSBOTS,kiv5_X,kiv5_Y,kiv5_X_EST,kiv5_Y_EST,kiv5_X_AVG,kiv5_Y_AVG,kiv5_X_MIN,kiv5_Y_MIN,kiv5_X_MAX,kiv5_Y_MAX,kiv5FRAC_MOVING_GPSBOTS,kiv5NUM_GPSBOTS,kiv5NUM_MOVING_GPSBOTS,kiv5NUM_CONNECTED_GPSBOTS,kiv6_X,kiv6_Y,kiv6_X_EST,kiv6_Y_EST,kiv6_X_AVG,kiv6_Y_AVG,kiv6_X_MIN,kiv6_Y_MIN,kiv6_X_MAX,kiv6_Y_MAX,kiv6FRAC_MOVING_GPSBOTS,kiv6NUM_GPSBOTS,kiv6NUM_MOVING_GPSBOTS,kiv6NUM_CONNECTED_GPSBOTS
1,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.789451,-0.388113,0.789451,-0.388113,0,-0.388113,0.789451,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.829217,-0.427821,0.829217,-0.427821,0,-0.427821,0.829217,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
4,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.858891,-0.4328,0.858891,-0.4328,0,-0.4328,0.858891,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
5,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.892407,-0.451926,0.892407,-0.451926,0,-0.451926,0.892407,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
6,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.928776,-0.481705,0.928776,-0.481705,0,-0.481705,0.928776,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
7,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.957773,-0.486303,0.957773,-0.486303,0,-0.486303,0.957773,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
8,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.989658,-0.501688,0.989658,-0.501688,0,-0.501688,0.989658,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
9,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,1.02272,-0.521857,1.02272,-0.521857,0,-0.521857,1.02272,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
10,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,1.05486,-0.539473,1.05486,-0.539473,0,-0.539473,1.05486,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
11,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.780557,-0.362621,0.780557,-0.362621,0,-0.362621,0.780557,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
12,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.780557,-0.362621,0.780557,-0.362621,0,-0.362621,0.780557,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
13,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.780557,-0.362621,0.780557,-0.362621,0,-0.362621,0.780557,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
14,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
15,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
16,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
17,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
18,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
